"driver","years_of_seasons","championships","total_race_wins","total_pole_positions","total_points","total_podiums"
"Lewis Hamilton",16,"7","103","103","4415.5","191"
"Michael Schumacher",19,"7","91","68","1566","155"
"Juan Manuel Fangio",8,"5","24","29","245","35"
"Alain Prost",13,"4","51","33","768.5","106"
"Sebastian Vettel",16,"4","53","57","3098","122"
"Ayrton Senna",11,"3","41","65","610","80"
"Jack Brabham",16,"3","14","13","253","31"
"Jackie Stewart",9,"3","27","17","359","43"
"Nelson Piquet",14,"3","23","24","481.5","60"
"Niki Lauda",13,"3","25","24","420.5","54"
"Alberto Ascari",6,"2","13","14","107.64","17"
"Emerson Fittipaldi",11,"2","14","6","281","35"
"Fernando Alonso",19,"2","32","22","2076","99"
"Graham Hill",18,"2","14","13","270","36"
"Jim Clark",9,"2","25","33","255","32"
"Max Verstappen",8,"2","36","21","2036.5","78"
"Mika Häkkinen",11,"2","20","26","420","51"
"Alan Jones",10,"1","12","6","199","24"
"Damon Hill",8,"1","22","20","360","42"
"Denny Hulme",10,"1","8","1","248","33"
"Jacques Villeneuve",11,"1","11","13","235","23"
"James Hunt",7,"1","10","14","179","23"
"Jenson Button",18,"1","15","8","1235","50"
"Jochen Rindt",7,"1","6","10","107","13"
"Jody Scheckter",9,"1","10","3","246","33"
"John Surtees",13,"1","6","8","180","24"
"Keke Rosberg",9,"1","5","5","159.5","17"
"Kimi Räikkönen",19,"1","21","18","1873","103"
"Mario Andretti",14,"1","12","18","180","19"
"Mike Hawthorn",7,"1","3","4","112.64","18"
"Nico Rosberg",11,"1","23","30","1594.5","57"
"Nigel Mansell",15,"1","31","32","480","59"
"Nino Farina",6,"1","5","5","115.33","20"
"Phil Hill",8,"1","3","6","94","16"
